Explain process state transition with a diagram,5,1
Consider a variant of the round robin scheduling algorithm in which the entries in the ready queue are the pinters to the process control block. What would be the effect of putting two pointers to the same process in the ready queue?. What would be a major advantage and disadvantage of this scheme?,4,4
Explain with a diagram any three key features provided by Multi level feedback queue in process scheduling,5,1
Suppose following process arrive for execution as shown below. Calculate average waiting time and average turnaround time based on non-preemptive FCFS scheduling algorithm. You must show the formulas and all steps leading to the result,6,3
"Consider N threads that want to each execute their first operation before any thread proceeds to the second operation. Below is the code that each thread runs in order to achieve this synchronization. count is an integer shared variable initialized to zero and mutex is a mutex binary semaphore, initialized to one, that protects this shared variable. You are told that this code is wrong and does not work correctly. Suggest the changes to be made to the code in the snippet below to fix it by using only semaphores and no other synchronization mechanism.",4,4
What is the meaning of the term busy waiting? What other kinds of waiting are there in an operating system? Can busy waiting be avoided altogether? Explain your answer,3,2
State any 3 necessary conditions to cause deadlock in a system. Explain each of them in a sentence,6,2
State any 2 possible remedies to the deadlock problem in the dining philosophers problem,2,1
Consider the following page reference string. How many page faults woud occur for Optimal replacement algorithm assuming four frames? Remember that all frames are initially empty. Your answer must show all steps leading to the result,5,3
A paginf scheme uses a translation lookaside buffer (tlb). A TLB-access takes 10ns and a main memory access takes 50ns. What is the effective access time (in ns) if the TLB hit ratio is 90% and there is no page fault,5,3
"Consider logical address space of eight pages of 1024 each, mapped onto a physical memory of 32 frames. How many bits are in the logical address? How many bits are in the physical address?",2,3
"Consider the following segment table. What are the physical addresses for the following logical addresses given as (segment, offset) tuples?",3,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. How many bits are in the offset portion of the virtual address?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes.How many bits are in the Virtual page number portion of the virtula address?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. How many entries are in the table?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. What is the total size of the table?",1,3
"Assume the following : a 32 bit virtual address space, with a 1kb page size and a linear page table with each page table entry size = 4 bytes. In a live system if page table size = 10MB and there are 100 processes, how much memory would be occupied by the page tables?",1,3
